test_date,district,tests_combined,cases_combined,tests_nontraveller,cases_nontraveller
2020-04-16,Satkhira,7,0,7,0
2020-04-16,Shariatpur,2,0,2,0
2020-04-16,Sherpur,19,0,19,0
2020-04-16,Sunamganj,4,1,4,1
2020-04-16,Sylhet,40,1,40,1
2020-04-16,Tangail,58,0,58,0
2020-04-17,Bagerhat,1,0,1,0
2020-04-17,Bandarban,6,0,6,0
2020-04-17,Barguna,16,6,16,6
2020-04-17,BARISHAL,3,2,3,2
2020-04-17,Bhola,1,0,1,0
2020-04-17,Brahmanbaria,1,0,1,0
2020-04-17,CHATTOGRAM,1,1,1,1
2020-04-17,COXS BAZAR,23,1,23,1
2020-04-17,CUMILLA,6,4,6,4
2020-04-17,Dhaka,288,133,288,133
2020-04-17,Dinajpur,4,3,4,3
2020-04-17,Feni,1,1,1,1
2020-04-17,Gaibandha,1,1,1,1
2020-04-17,Gazipur,214,18,214,18
2020-04-17,Habiganj,17,1,17,1
2020-04-17,Jamalpur,36,7,36,7
2020-04-17,JASHORE,7,0,7,0
2020-04-17,Joypurhat,1,1,1,1
2020-04-17,Khulna,6,1,6,1
2020-04-17,KISHOREGANJ,110,29,110,29
2020-04-17,Kushtia,28,0,28,0
2020-04-17,Lakshmipur,1,0,1,0
2020-04-17,Lalmonirhat,9,0,9,0
2020-04-17,Magura,3,1,3,1
2020-04-17,Manikganj,9,0,9,0
2020-04-17,Meherpur,41,0,41,0
2020-04-17,Moulvibazar,19,1,19,1
2020-04-17,Munshiganj,2,2,2,2
2020-04-17,Mymensingh,36,2,36,2
2020-04-17,Narail,5,0,5,0
2020-04-17,Narayanganj,60,42,60,42
2020-04-17,Narsingdi,45,24,45,24
2020-04-17,Natore,1,1,1,1
2020-04-17,Netrakona,49,7,49,7
2020-04-17,Nilphamari,2,2,2,2
2020-04-17,Noakhali,1,1,1,1
2020-04-17,Panchagarh,1,1,1,1
2020-04-17,Rajshahi,1,1,1,1
2020-04-17,Rangpur,1,1,1,1
2020-04-17,Satkhira,1,0,1,0
2020-04-17,Sherpur,31,8,31,8
2020-04-17,Sunamganj,18,0,18,0
2020-04-17,Sylhet,24,2,24,2
2020-04-17,Tangail,31,2,31,2
2020-04-17,Thakurgaon,1,1,1,1
2020-04-18,Bagerhat,1,1,1,1
2020-04-18,Barguna,4,2,4,2
2020-04-18,BARISHAL,14,2,14,2
2020-04-18,Brahmanbaria,1,0,1,0
2020-04-18,CHATTOGRAM,3,3,3,3
2020-04-18,COXS BAZAR,3,1,3,1
2020-04-18,CUMILLA,5,5,5,5
2020-04-18,Dhaka,180,138,180,138
2020-04-18,Dinajpur,2,2,2,2
2020-04-18,Faridpur,1,1,1,1
2020-04-18,Gazipur,62,29,62,29
2020-04-18,Gopalganj,1,0,1,0
2020-04-18,Habiganj,1,1,1,1
2020-04-18,Jamalpur,29,4,29,4
2020-04-18,JASHORE,4,2,4,2
2020-04-18,Jhenaidah,2,0,2,0
2020-04-18,Khulna,10,0,10,0
2020-04-18,KISHOREGANJ,104,43,104,43
2020-04-18,Lakshmipur,2,2,2,2
2020-04-18,Madaripur,1,1,1,1
2020-04-18,Magura,10,1,10,1
2020-04-18,Manikganj,1,1,1,1
2020-04-18,Mymensingh,45,9,45,9
2020-04-18,Narayanganj,38,38,38,38
2020-04-18,Narsingdi,17,15,17,15
2020-04-18,Netrakona,43,4,43,4
2020-04-18,Nilphamari,1,1,1,1
2020-04-18,Pabna,1,1,1,1
2020-04-18,Rangpur,1,1,1,1
2020-04-18,Satkhira,1,1,1,1
2020-04-18,Sherpur,53,0,53,0
2020-04-18,Tangail,1,1,1,1
2020-04-18,Thakurgaon,1,1,1,1
2020-04-19,Bandarban,9,0,9,0
2020-04-19,BARISHAL,7,6,7,6
2020-04-19,Brahmanbaria,1,1,1,1
2020-04-19,Chandpur,1,1,1,1
2020-04-19,CHATTOGRAM,2,2,2,2
2020-04-19,COXS BAZAR,38,2,38,2
2020-04-19,Dhaka,229,150,229,150
2020-04-19,Dinajpur,1,1,1,1
2020-04-19,Faridpur,7,0,7,0
2020-04-19,Gaibandha,1,1,1,1
2020-04-19,Gazipur,116,76,116,76
2020-04-19,Gopalganj,16,1,16,1
2020-04-19,Habiganj,1,1,1,1
2020-04-19,Jamalpur,2,2,2,2
2020-04-19,JASHORE,3,3,3,3
2020-04-19,Khulna,2,2,2,2
2020-04-19,KISHOREGANJ,118,64,118,64
2020-04-19,Lakshmipur,2,2,2,2
2020-04-19,Madaripur,2,0,2,0
2020-04-19,Manikganj,1,1,1,1
2020-04-19,Munshiganj,1,1,1,1
2020-04-19,Mymensingh,65,19,65,19
2020-04-19,Naogaon,1,1,1,1
2020-04-19,Narail,1,1,1,1
2020-04-19,Narayanganj,23,23,23,23
2020-04-19,Narsingdi,52,31,52,31
2020-04-19,Natore,1,0,1,0
2020-04-19,Noakhali,1,1,1,1
2020-04-19,Pirojpur,2,0,2,0
2020-04-19,Rajshahi,1,1,1,1
2020-04-19,Rangpur,1,1,1,1
2020-04-19,Shariatpur,1,1,1,1
2020-04-19,Sherpur,3,2,3,2
2020-04-19,Sirajganj,1,1,1,1
2020-04-19,Sylhet,1,1,1,1
2020-04-19,Tangail,4,2,4,2
2020-04-20,Bandarban,7,0,7,0
2020-04-20,Barguna,6,4,6,4
2020-04-20,BARISHAL,6,0,6,0
2020-04-20,Bhola,6,0,6,0
2020-04-20,BOGURA,1,1,1,1
2020-04-20,Brahmanbaria,1,1,1,1
2020-04-20,CHAPAINABABGANJ,1,1,1,1
2020-04-20,Chuadanga,1,1,1,1
2020-04-20,COXS BAZAR,19,0,19,0
2020-04-20,CUMILLA,4,4,4,4
2020-04-20,Dhaka,209,148,209,148
2020-04-20,Dinajpur,2,2,2,2
2020-04-20,Faridpur,1,1,1,1
2020-04-20,Feni,1,1,1,1
2020-04-20,Gazipur,110,32,110,32
2020-04-20,Gopalganj,8,8,8,8
2020-04-20,Habiganj,10,10,10,10
2020-04-20,Jamalpur,28,5,28,5
2020-04-20,JASHORE,2,2,2,2
2020-04-20,Jhalokati,1,1,1,1
2020-04-20,Joypurhat,3,3,3,3
2020-04-20,KISHOREGANJ,100,32,100,32
2020-04-20,Kushtia,1,1,1,1
2020-04-20,Manikganj,3,3,3,3
2020-04-20,Mymensingh,29,12,29,12
2020-04-20,Naogaon,1,1,1,1
2020-04-20,Narayanganj,28,28,28,28
2020-04-20,Narsingdi,73,32,73,32
2020-04-20,Netrakona,64,7,64,7
2020-04-20,Nilphamari,2,2,2,2
